[DEBUG] 2022-06-14 20:41:54.158 [main] StatisticsImpl - HHH000117: HQL: select generatedAlias0 from orders as generatedAlias0 where generatedAlias0.creationDate<:param0, time: 1379ms, rows: 8971
[DEBUG] 2022-06-14 20:41:54.562 [main] StatisticsImpl - HHH000117: HQL: select new com.example.persistencelayer.model.OrderDto(o.creationDate, o.deliveryDate) from orders o where o.creationDate<'2022-01-01 00:00:00' , time: 354ms, rows: 8971
[DEBUG] 2022-06-14 20:41:55.259 [main] StatisticsImpl - HHH000117: HQL: select generatedAlias0 from orders as generatedAlias0 where generatedAlias0.creationDate<:param0, time: 669ms, rows: 8971
[DEBUG] 2022-06-14 20:41:55.527 [main] StatisticsImpl - HHH000117: HQL: select new com.example.persistencelayer.model.OrderDto(o.creationDate, o.deliveryDate) from orders o where o.creationDate<'2022-01-01 00:00:00' , time: 254ms, rows: 8971
[DEBUG] 2022-06-14 20:41:56.069 [main] StatisticsImpl - HHH000117: HQL: select generatedAlias0 from orders as generatedAlias0 where generatedAlias0.creationDate<:param0, time: 527ms, rows: 8971
[DEBUG] 2022-06-14 20:41:56.299 [main] StatisticsImpl - HHH000117: HQL: select new com.example.persistencelayer.model.OrderDto(o.creationDate, o.deliveryDate) from orders o where o.creationDate<'2022-01-01 00:00:00' , time: 215ms, rows: 8971
[DEBUG] 2022-06-14 20:41:56.875 [main] StatisticsImpl - HHH000117: HQL: select generatedAlias0 from orders as generatedAlias0 where generatedAlias0.creationDate<:param0, time: 564ms, rows: 8971
[DEBUG] 2022-06-14 20:41:57.097 [main] StatisticsImpl - HHH000117: HQL: select new com.example.persistencelayer.model.OrderDto(o.creationDate, o.deliveryDate) from orders o where o.creationDate<'2022-01-01 00:00:00' , time: 212ms, rows: 8971
[DEBUG] 2022-06-14 20:41:57.612 [main] StatisticsImpl - HHH000117: HQL: select generatedAlias0 from orders as generatedAlias0 where generatedAlias0.creationDate<:param0, time: 502ms, rows: 8971
[DEBUG] 2022-06-14 20:41:57.861 [main] StatisticsImpl - HHH000117: HQL: select new com.example.persistencelayer.model.OrderDto(o.creationDate, o.deliveryDate) from orders o where o.creationDate<'2022-01-01 00:00:00' , time: 236ms, rows: 8971
[DEBUG] 2022-06-14 20:41:58.358 [main] StatisticsImpl - HHH000117: HQL: select generatedAlias0 from orders as generatedAlias0 where generatedAlias0.creationDate<:param0, time: 485ms, rows: 8971
